id,word,article,translation,level,category,plural,example_de,example_es,has_article,part_of_speech
116,Geschäft,das,tienda/negocio,A1,compras,Geschäfte,Das Geschäft ist geschlossen.,La tienda está cerrada.,True,noun
117,Markt,der,mercado,A1,compras,Märkte,Wir kaufen Gemüse auf dem Markt.,Compramos verduras en el mercado.,True,noun
118,Lebensmittel,die,alimentos,A2,comida,—,Die Lebensmittel sind frisch.,Los alimentos están frescos.,True,noun
119,Gemüse,das,verdura,A1,comida,—,Ich esse gern Gemüse.,Me gusta comer verdura.,True,noun
120,Obst,das,fruta,A1,comida,—,Das Obst ist frisch.,La fruta está fresca.,True,noun
121,Fleisch,das,carne,A1,comida,—,Ich esse kein Fleisch.,No como carne.,True,noun
122,Fisch,der,pescado,A1,comida,Fische,Der Fisch ist frisch.,El pescado está fresco.,True,noun
123,Käse,der,queso,A1,comida,Käse,Der Käse schmeckt gut.,El queso sabe bien.,True,noun
124,Milch,die,leche,A1,comida,—,Die Milch ist im Kühlschrank.,La leche está en la nevera.,True,noun
125,Kaffee,der,café,A1,comida,Kaffees,Ich trinke morgens Kaffee.,Bebo café por la mañana.,True,noun
126,Tee,der,té,A1,comida,Tees,Ich möchte einen Tee.,Quiero un té.,True,noun
127,Restaurant,das,restaurante,A1,comida,Restaurants,Das Restaurant ist voll.,El restaurante está lleno.,True,noun
128,Frage,die,pregunta,A1,comunicación,Fragen,Ich habe eine Frage.,Tengo una pregunta.,True,noun
129,Antwort,die,respuesta,A1,comunicación,Antworten,Die Antwort ist richtig.,La respuesta es correcta.,True,noun
130,Problem,das,problema,A2,comunicación,Probleme,Wir haben ein Problem.,Tenemos un problema.,True,noun
131,Termin,der,cita,A2,trabajo,Termine,Ich habe morgen einen Termin.,Mañana tengo una cita.,True,noun
132,Nachricht,die,mensaje/noticia,A2,comunicación,Nachrichten,Ich habe eine Nachricht bekommen.,He recibido un mensaje.,True,noun
133,E-Mail,die,correo electrónico,A1,tecnología,E-Mails,Ich schreibe eine E-Mail.,Escribo un correo electrónico.,True,noun
134,Internet,das,internet,A1,tecnología,—,Das Internet ist langsam.,Internet es lento.,True,noun
135,Computer,der,ordenador,A1,tecnología,Computer,Der Computer funktioniert nicht.,El ordenador no funciona.,True,noun
136,Datei,die,archivo,A2,tecnología,Dateien,Die Datei ist zu groß.,El archivo es demasiado grande.,True,noun
137,Passwort,das,contraseña,A2,tecnología,Passwörter,Ich habe mein Passwort vergessen.,He olvidado mi contraseña.,True,noun
138,Arbeitgeber,der,empleador,B1,trabajo,Arbeitgeber,Der Arbeitgeber bietet flexible Arbeitszeiten.,El empleador ofrece horarios flexibles.,True,noun
139,Mitarbeiter,der,empleado/colaborador,B1,trabajo,Mitarbeiter,Die Mitarbeiter arbeiten zusammen.,Los empleados trabajan juntos.,True,noun
140,Kollege,der,compañero de trabajo,A2,trabajo,Kollegen,Mein Kollege hilft mir.,Mi compañero me ayuda.,True,noun
141,Kollegin,die,compañera de trabajo,A2,trabajo,Kolleginnen,Meine Kollegin kommt später.,Mi compañera viene más tarde.,True,noun
142,Chef,der,jefe,A2,trabajo,Chefs,Der Chef ist heute nicht da.,El jefe no está hoy.,True,noun
143,Firma,die,empresa,A2,trabajo,Firmen,Die Firma sucht neue Mitarbeiter.,La empresa busca nuevos empleados.,True,noun
144,Beruf,der,profesión,A2,trabajo,Berufe,Was ist dein Beruf?,¿Cuál es tu profesión?,True,noun
145,Erfahrung,die,experiencia,B1,trabajo,Erfahrungen,Sie hat viel Erfahrung.,Ella tiene mucha experiencia.,True,noun
146,Ausbildung,die,formación profesional,B1,educación,Ausbildungen,Er macht eine Ausbildung.,Él hace una formación profesional.,True,noun
147,Prüfung,die,examen,A2,educación,Prüfungen,Die Prüfung ist nächste Woche.,El examen es la próxima semana.,True,noun
148,Ergebnis,das,resultado,B1,educación,Ergebnisse,Das Ergebnis ist positiv.,El resultado es positivo.,True,noun
149,Entscheidung,die,decisión,B1,abstracto,Entscheidungen,Das war eine schwierige Entscheidung.,Fue una decisión difícil.,True,noun
150,Meinung,die,opinión,B1,comunicación,Meinungen,Was ist deine Meinung?,¿Cuál es tu opinión?,True,noun
151,Grund,der,razón/motivo,B1,abstracto,Gründe,Es gibt einen wichtigen Grund.,Hay una razón importante.,True,noun
152,Möglichkeit,die,posibilidad,B1,abstracto,Möglichkeiten,Wir haben mehrere Möglichkeiten.,Tenemos varias posibilidades.,True,noun
153,Plan,der,plan,A2,abstracto,Pläne,Wir brauchen einen neuen Plan.,Necesitamos un plan nuevo.,True,noun
154,Ziel,das,objetivo/meta,B1,abstracto,Ziele,Mein Ziel ist B1.,Mi objetivo es B1.,True,noun
155,Hilfe,die,ayuda,A1,comunicación,—,Danke für deine Hilfe.,Gracias por tu ayuda.,True,noun
156,Anfang,der,principio/comienzo,B1,tiempo,Anfänge,Am Anfang war es schwierig.,Al principio fue difícil.,True,noun
157,Ende,das,final,A1,tiempo,Enden,Am Ende war alles gut.,Al final todo estuvo bien.,True,noun
158,Zeit,die,tiempo,A1,tiempo,Zeiten,Ich habe keine Zeit.,No tengo tiempo.,True,noun
159,Woche,die,semana,A1,tiempo,Wochen,Nächste Woche habe ich Urlaub.,La próxima semana estoy de vacaciones.,True,noun
160,Monat,der,mes,A1,tiempo,Monate,Der Monat hat vier Wochen.,El mes tiene cuatro semanas.,True,noun
161,Jahr,das,año,A1,tiempo,Jahre,Dieses Jahr lerne ich Deutsch.,Este año aprendo alemán.,True,noun
162,Wetter,das,tiempo/clima,A1,naturaleza,—,Das Wetter ist heute schön.,Hoy hace buen tiempo.,True,noun
163,Regen,der,lluvia,A1,naturaleza,—,Der Regen beginnt am Abend.,La lluvia empieza por la tarde.,True,noun
164,Schnee,der,nieve,A1,naturaleza,—,Der Schnee ist weiß.,La nieve es blanca.,True,noun
165,Sonne,die,sol,A1,naturaleza,Sonnen,Die Sonne scheint.,Brilla el sol.,True,noun
166,Wind,der,viento,A2,naturaleza,Winde,Der Wind ist stark.,El viento es fuerte.,True,noun
167,Natur,die,naturaleza,A2,naturaleza,—,Wir lieben die Natur.,Nos encanta la naturaleza.,True,noun
168,Umwelt,die,medio ambiente,B1,naturaleza,—,Wir müssen die Umwelt schützen.,Tenemos que proteger el medio ambiente.,True,noun
169,schützen,,proteger,B1,verbos,—,Wir schützen die Umwelt.,Protegemos el medio ambiente.,False,verb
170,erklären,,explicar,A2,verbos,—,Kannst du das erklären?,¿Puedes explicar eso?,False,verb
171,vergessen,,olvidar,A2,verbos,—,Ich habe den Termin vergessen.,He olvidado la cita.,False,verb
172,verstehen,,entender,A1,verbos,—,Ich verstehe die Frage.,Entiendo la pregunta.,False,verb
173,beginnen,,empezar,A2,verbos,—,Der Kurs beginnt um neun.,El curso empieza a las nueve.,False,verb
174,enden,,terminar,A2,verbos,—,Der Film endet um zehn.,La película termina a las diez.,False,verb
175,bezahlen,,pagar,A1,verbos,—,Ich möchte bezahlen.,Quiero pagar.,False,verb
176,bestellen,,pedir/encargar,A2,verbos,—,Wir bestellen eine Pizza.,Pedimos una pizza.,False,verb
177,beschreiben,,describir,B1,verbos,—,Kannst du das Bild beschreiben?,¿Puedes describir la imagen?,False,verb
178,entscheiden,,decidir,B1,verbos,—,Wir müssen heute entscheiden.,Tenemos que decidir hoy.,False,verb
179,versuchen,,intentar,B1,verbos,—,Ich versuche es noch einmal.,Lo intento otra vez.,False,verb
180,erreichen,,alcanzar/lograr,B1,verbos,—,Wir wollen unser Ziel erreichen.,Queremos alcanzar nuestro objetivo.,False,verb
181,verbessern,,mejorar,B1,verbos,—,Ich möchte mein Deutsch verbessern.,Quiero mejorar mi alemán.,False,verb
182,erlauben,,permitir,B1,verbos,—,Das ist hier nicht erlaubt.,Eso no está permitido aquí.,False,verb
183,treffen,,encontrarse/conocer,A2,verbos,—,Wir treffen uns um acht.,Nos encontramos a las ocho.,False,verb
184,helfen,,ayudar,A1,verbos,—,Kannst du mir helfen?,¿Puedes ayudarme?,False,verb
185,geben,,dar,A1,verbos,—,Ich gebe dir das Buch.,Te doy el libro.,False,verb
186,nehmen,,tomar/coger,A1,verbos,—,Ich nehme den Bus.,Cojo el autobús.,False,verb
187,bringen,,traer/llevar,A2,verbos,—,Ich bringe dir einen Kaffee.,Te traigo un café.,False,verb
188,bekommen,,recibir/obtener,A2,verbos,—,Ich bekomme eine E-Mail.,Recibo un correo.,False,verb
189,bleiben,,quedarse,A2,verbos,—,Wir bleiben zu Hause.,Nos quedamos en casa.,False,verb
190,reisen,,viajar,A2,verbos,—,Wir reisen im Sommer.,Viajamos en verano.,False,verb
191,suchen,,buscar,A1,verbos,—,Ich suche meine Schlüssel.,Busco mis llaves.,False,verb
192,zeigen,,mostrar,A2,verbos,—,Ich zeige dir die Wohnung.,Te muestro el piso.,False,verb
193,öffnen,,abrir,A1,verbos,—,Bitte öffnen Sie die Tür.,"Por favor, abra la puerta.",False,verb
194,schließen,,cerrar,A1,verbos,—,Bitte schließen Sie das Fenster.,"Por favor, cierre la ventana.",False,verb
195,warten,,esperar,A1,verbos,—,Ich warte auf den Bus.,Espero el autobús.,False,verb
196,anrufen,,llamar por teléfono,A2,verbos,—,Ich rufe dich später an.,Te llamo más tarde.,False,verb
197,aussehen,,parecer/tener aspecto,B1,verbos,—,Du siehst müde aus.,Pareces cansado/a.,False,verb
198,aufstehen,,levantarse,A1,verbos,—,Ich stehe um sieben Uhr auf.,Me levanto a las siete.,False,verb
199,einkaufen,,hacer compras,A1,verbos,—,Wir kaufen am Samstag ein.,Hacemos las compras el sábado.,False,verb
200,frühstücken,,desayunar,A1,verbos,—,Ich frühstücke um acht.,Desayuno a las ocho.,False,verb
201,meinen,,opinar/querer decir,B1,verbos,—,Was meinst du?,¿Qué opinas?,False,verb
202,glauben,,creer,A2,verbos,—,"Ich glaube, das ist richtig.",Creo que eso es correcto.,False,verb
203,hoffen,,esperar/desear,B1,verbos,—,"Ich hoffe, dass du kommst.",Espero que vengas.,False,verb
204,kennen,,conocer,A2,verbos,—,Kennst du diese Stadt?,¿Conoces esta ciudad?,False,verb
205,wissen,,saber,A1,verbos,—,Ich weiß es nicht.,No lo sé.,False,verb
206,denken,,pensar,A2,verbos,—,Ich denke an dich.,Pienso en ti.,False,verb
207,tragen,,llevar/vestir,A2,verbos,—,Sie trägt eine Jacke.,Ella lleva una chaqueta.,False,verb
208,waschen,,lavar,A1,verbos,—,Ich wasche meine Hände.,Me lavo las manos.,False,verb
209,duschen,,ducharse,A1,verbos,—,Ich dusche morgens.,Me ducho por la mañana.,False,verb
210,schmecken,,saber/tener sabor,A2,verbos,—,Die Suppe schmeckt gut.,La sopa sabe bien.,False,verb
211,fühlen,,sentir,B1,verbos,—,Ich fühle mich gut.,Me siento bien.,False,verb
212,sich erinnern,,recordar,B1,verbos,—,Ich erinnere mich daran.,Lo recuerdo.,False,verb
213,Gesundheit,die,salud,A2,salud,—,Gesundheit ist wichtig.,La salud es importante.,True,noun
214,Kopf,der,cabeza,A1,cuerpo,Köpfe,Mein Kopf tut weh.,Me duele la cabeza.,True,noun
215,Hand,die,mano,A1,cuerpo,Hände,Meine Hände sind kalt.,Mis manos están frías.,True,noun
216,Auge,das,ojo,A1,cuerpo,Augen,Mein Auge tut weh.,Me duele el ojo.,True,noun
217,Fuß,der,pie,A1,cuerpo,Füße,Mein Fuß tut weh.,Me duele el pie.,True,noun
218,Bauch,der,barriga/estómago,A2,cuerpo,Bäuche,Mein Bauch tut weh.,Me duele el estómago.,True,noun
219,Kleidung,die,ropa,A2,compras,—,Die Kleidung ist teuer.,La ropa es cara.,True,noun
220,Jacke,die,chaqueta,A1,ropa,Jacken,Die Jacke ist warm.,La chaqueta es abrigada.,True,noun
221,Schuh,der,zapato,A1,ropa,Schuhe,Meine Schuhe sind neu.,Mis zapatos son nuevos.,True,noun
222,Hemd,das,camisa,A1,ropa,Hemden,Das Hemd ist weiß.,La camisa es blanca.,True,noun
223,Hose,die,pantalón,A1,ropa,Hosen,Die Hose ist schwarz.,El pantalón es negro.,True,noun
224,Kleid,das,vestido,A1,ropa,Kleider,Das Kleid ist schön.,El vestido es bonito.,True,noun
225,Farbe,die,color,A1,ropa,Farben,Meine Lieblingsfarbe ist Blau.,Mi color favorito es el azul.,True,noun
226,rot,,rojo,A1,colores,—,Das Auto ist rot.,El coche es rojo.,False,other
227,blau,,azul,A1,colores,—,Der Himmel ist blau.,El cielo es azul.,False,other
228,grün,,verde,A1,colores,—,Das Gras ist grün.,La hierba es verde.,False,other
229,schwarz,,negro,A1,colores,—,Die Tasche ist schwarz.,El bolso es negro.,False,other
230,weiß,,blanco,A1,colores,—,Das Papier ist weiß.,El papel es blanco.,False,other
231,grau,,gris,A1,colores,—,Der Himmel ist grau.,El cielo es gris.,False,other
232,hell,,claro,A2,adjetivos,—,Das Zimmer ist hell.,La habitación es luminosa.,False,adjective
233,dunkel,,oscuro,A2,adjetivos,—,Das Zimmer ist dunkel.,La habitación está oscura.,False,adjective
234,laut,,ruidoso,A2,adjetivos,—,Die Musik ist laut.,La música está alta.,False,adjective
235,leise,,silencioso/bajo,A2,adjetivos,—,Bitte sei leise.,"Por favor, guarda silencio.",False,adjective
236,freundlich,,amable,A2,adjetivos,—,Der Mann ist freundlich.,El hombre es amable.,False,adjective
237,unfreundlich,,antipático,B1,adjetivos,—,Der Verkäufer war unfreundlich.,El vendedor fue antipático.,False,adjective
238,zufrieden,,satisfecho,B1,adjetivos,—,Ich bin mit dem Ergebnis zufrieden.,Estoy satisfecho/a con el resultado.,False,adjective
239,bereit,,listo/preparado,B1,adjetivos,—,Ich bin bereit.,Estoy listo/a.,False,adjective
240,frei,,libre,A2,adjetivos,—,Bist du morgen frei?,¿Estás libre mañana?,False,adjective
241,besetzt,,ocupado,A2,adjetivos,—,Der Platz ist besetzt.,El asiento está ocupado.,False,adjective
242,allein,,solo,A2,adjetivos,—,Ich wohne allein.,Vivo solo/a.,False,adjective
243,zusammen,,juntos,A1,adverbios,—,Wir lernen zusammen.,Estudiamos juntos.,False,adverb
244,immer,,siempre,A1,adverbios,—,Ich komme immer pünktlich.,Siempre llego puntual.,False,adverb
245,oft,,a menudo,A1,adverbios,—,Ich gehe oft ins Kino.,Voy a menudo al cine.,False,adverb
246,manchmal,,a veces,A1,adverbios,—,Manchmal arbeite ich zu Hause.,A veces trabajo en casa.,False,adverb
247,selten,,raramente,A2,adverbios,—,Ich esse selten Fleisch.,Rara vez como carne.,False,adverb
248,nie,,nunca,A1,adverbios,—,Ich trinke nie Alkohol.,Nunca bebo alcohol.,False,adverb
249,schon,,ya,A1,adverbios,—,Ich bin schon fertig.,Ya he terminado.,False,adverb
250,noch,,todavía/aún,A1,adverbios,—,Ich bin noch nicht fertig.,Todavía no he terminado.,False,adverb
251,wieder,,de nuevo,A1,adverbios,—,Bis morgen wieder!,¡Hasta mañana de nuevo!,False,adverb
252,bald,,pronto,A2,adverbios,—,Bis bald!,¡Hasta pronto!,False,adverb
253,gerade,,ahora mismo,A2,adverbios,—,Ich esse gerade.,Estoy comiendo ahora mismo.,False,adverb
254,deshalb,,por eso,B1,conectores,—,"Ich bin müde, deshalb gehe ich nach Hause.","Estoy cansado/a, por eso me voy a casa.",False,other
255,trotzdem,,sin embargo/aun así,B1,conectores,—,"Es regnet, trotzdem gehen wir spazieren.","Llueve, aun así salimos a pasear.",False,other
256,obwohl,,aunque,B1,conectores,—,"Obwohl es regnet, gehen wir raus.","Aunque llueve, salimos.",False,other
257,weil,,porque,A2,conectores,—,"Ich bleibe zu Hause, weil ich krank bin.",Me quedo en casa porque estoy enfermo/a.,False,other
258,dass,,que,A2,conectores,—,"Ich glaube, dass er kommt.",Creo que él viene.,False,other
